[['256-7-7-1-256-1-0'], [[['conv'], ['4315.0']], [['directconv'], ['4353.0']]]]
[['256-7-7-1-512-1-0'], [[['conv'], ['6360.0']], [['directconv'], ['7022.0']]]]
[['256-8-8-1-256-1-0'], [[['directconv'], ['4350.0']], [['conv'], ['4465.0']]]]
[['256-8-8-1-512-1-0'], [[['conv'], ['6463.0']], [['directconv'], ['8251.0']]]]
[['288-35-35-1-48-1-0'], [[['conv'], ['10652.0']], [['directconv'], ['19729.0']]]]
[['288-35-35-1-64-1-0'], [[['conv'], ['12351.0']], [['directconv'], ['23842.0']]]]
[['288-35-35-3-384-2-0'], [[['conv'], ['109972.0']], [['directconv'], ['191494.0']]]]
[['3-128-128-3-16-2-0'], [[['directconv'], ['2033.9999999999998']], [['conv'], ['3513.0']]]]
[['3-128-128-3-24-2-0'], [[['directconv'], ['2738.0']], [['conv'], ['4317.0']]]]
[['3-128-128-3-32-2-0'], [[['directconv'], ['3372.0']], [['conv'], ['4786.0']]]]
[['3-128-128-3-8-2-0'], [[['directconv'], ['1350.0']], [['conv'], ['3140.0']]]]
[['3-160-160-3-16-2-0'], [[['directconv'], ['2880.0']], [['conv'], ['4992.0']]]]
[['3-160-160-3-24-2-0'], [[['directconv'], ['4134.0']], [['conv'], ['5960.0']]]]
[['3-160-160-3-32-2-0'], [[['directconv'], ['5267.0']], [['conv'], ['6566.0']]]]
[['3-160-160-3-8-2-0'], [[['directconv'], ['1866.0']], [['conv'], ['4410.0']]]]
[['3-192-192-3-16-2-0'], [[['directconv'], ['3823.0']], [['conv'], ['5545.0']]]]
[['3-192-192-3-24-2-0'], [[['directconv'], ['5334.0']], [['conv'], ['7489.0']]]]
[['3-192-192-3-32-2-0'], [[['directconv'], ['6864.0']], [['conv'], ['8497.0']]]]
[['3-192-192-3-8-2-0'], [[['directconv'], ['2251.0']], [['conv'], ['4968.0']]]]
[['3-224-224-11-96-4-0'], [[['conv'], ['38564.0']]]]
