Model,accuracy,acc_err,balanced,bacc_err,conv_prec,cp_err,conv_rec,cr_err,d_conv_prec,dcp_err,d_conv_rec,dcr_err,w_conv_prec,wcp_err,w_conv_rec,wcr_err
RF,0.9284452296819786,0.004886684341321307,0.9443477690272628,0.003375510023356637,0.9769136427241122,0.004181029887710905,0.925931311009774,0.007950650813227895,0.8519258125023976,0.020276312135914822,0.918286669574664,0.00819396225871617,0.8246179509315816,0.0282136191400094,0.9888253264973506,0.01029197237446029
MLP,0.8734098939929329,0.030373922986546835,0.8237175329666648,0.052590818746270515,0.9054464460853147,0.03699065758532172,0.9204609475362501,0.01740649157599269,0.8150851065458141,0.03583182717688676,0.7853316551456386,0.07910613843636818,0.7980815727341068,0.10559618603343707,0.7653599962181056,0.09824347079269596
DT,0.915547703180212,0.01071930128064843,0.9286256342486305,0.009690840611056403,0.9675570277638933,0.00944376009269556,0.9202323190115239,0.013048336189003256,0.8333229970772393,0.021212626015463018,0.886798277436791,0.025361047838368397,0.8069383762124769,0.07008305764119475,0.9788463062975769,0.01462042930977678
LoR,0.57226148409894,0.008406627034183968,0.7064451520277473,0.009892741879430591,0.9043315242265688,0.014494462746112838,0.5026310825939435,0.016912555029257037,0.5310756498553882,0.026652401746891697,0.640617114550987,0.03524972789738945,0.2240058947249164,0.017898766768170808,0.976087258938311,0.021015629457325997
KNN,0.7253533568904593,0.022544508842447002,0.49660839135534773,0.010942354908823781,0.8023042973890796,0.011156307645972072,0.8412869528702535,0.03255602378089697,0.6523191572851972,0.04350116884390825,0.6231932683888906,0.02296560628547059,0.026522935980945676,0.0241826712365912,0.02534495280689932,0.02494102087315055
NBC,0.7095406360424027,0.014027868015038287,0.7353469906690095,0.008934107966535066,0.8494090117390922,0.013243746167880273,0.7951428576751424,0.01573425902909087,0.586866751871433,0.0210873643514129,0.41198507085362507,0.02413083120151347,0.37419808830566603,0.02834323952291851,0.9989130434782609,0.003260869565217406
SVM,0.7219964664310954,0.014808615624187029,0.6878091655812157,0.021218413940531304,0.8978369465323702,0.011061408370730115,0.7238166288968964,0.021239861023531717,0.6389054069038704,0.029629720574611666,0.7565396716620902,0.02137977937546718,0.27401915453839926,0.023287580155216713,0.5830711961846606,0.05740451992753214
GTB,0.9456713780918727,0.0038758676622756556,0.9380979248789896,0.008693618552765044,0.9614249231912204,0.006907287143341641,0.9650657171751014,0.0074309710550379,0.909421117926929,0.019473420399655154,0.8940614527248005,0.009185464870074368,0.9292754200353535,0.029300882653491536,0.9551666047370662,0.02383524565010093
